,_week_,_day_,_date_,_time_,home,score,away,attendance,venue,referee,xg_home,xg_away
1319,7.0,Fri,2018-09-28,21:00,Rayo Vallecano,2–2,Espanyol,12100.0,Estadio del Rayo Vallecano,Alberola Rojas,1.3,1.5
1320,7.0,Sat,2018-09-29,13:00,Real Sociedad,0–1,Valencia,23577.0,Estadio Municipal de Anoeta,Jesús Gil,1.3,0.9
1321,7.0,Sat,2018-09-29,16:15,Barcelona,1–1,Athletic Club,78015.0,Camp Nou,Santiago Jaime,3.2,0.9
1322,7.0,Sat,2018-09-29,18:30,Eibar,1–3,Sevilla,5443.0,Estadio Municipal de Ipurúa,Javier Estrada,0.8,2.0
1323,7.0,Sat,2018-09-29,20:45,Real Madrid,0–0,Atlético Madrid,78642.0,Estadio Santiago Bernabéu,Juan Martínez,1.2,0.8
1324,7.0,Sun,2018-09-30,12:00,Huesca,1–1,Girona,6779.0,Estadio El Alcoraz,Adrián Cordero,1.5,1.7
1325,7.0,Sun,2018-09-30,16:15,Villarreal,0–1,Valladolid,15602.0,Estadio de la Cerámica,Ignacio Iglesias,2.8,0.8
1326,7.0,Sun,2018-09-30,18:30,Levante,2–1,Alavés,20239.0,Estadio Ciudad de Valencia,Mario Melero,1.6,0.9
1327,7.0,Sun,2018-09-30,20:45,Betis,1–0,Leganés,48115.0,Estadio Benito Villamarín,José Sánchez,1.7,0.5
1328,7.0,Mon,2018-10-01,21:00,Celta Vigo,1–1,Getafe,14330.0,Estadio de Balaídos,Guillermo Cuadra,0.5,1.2
1330,8.0,Fri,2018-10-05,21:00,Athletic Club,1–3,Real Sociedad,46884.0,San Mamés,Alejandro Hernández,1.4,2.2
1331,8.0,Sat,2018-10-06,13:00,Girona,2–3,Eibar,10569.0,Estadi Municipal de Montilivi,Eduardo Prieto,1.2,1.7
1332,8.0,Sat,2018-10-06,16:15,Getafe,0–1,Levante,9557.0,Coliseum Alfonso Pérez,José Luis Munuera,1.1,1.0
1333,8.0,Sat,2018-10-06,18:30,Alavés,1–0,Real Madrid,19461.0,Estadio de Mendizorroza,Santiago Jaime,1.1,0.8
1334,8.0,Sat,2018-10-06,20:45,Leganés,1–0,Rayo Vallecano,11539.0,Estadio Municipal de Butarque,David Medié,0.9,0.4
1335,8.0,Sun,2018-10-07,12:00,Valladolid,1–0,Huesca,17300.0,Estadio Municipal José Zorrilla,Antonio Matéu Lahoz,0.8,0.6
1336,8.0,Sun,2018-10-07,16:15,Atlético Madrid,1–0,Betis,63786.0,Estadio Wanda Metropolitano,Alberto Undiano,0.6,0.3
1337,8.0,Sun,2018-10-07,18:30,Sevilla,2–1,Celta Vigo,38068.0,Estadio Ramón Sánchez Pizjuán,Pablo González,1.8,0.7
1338,8.0,Sun,2018-10-07,18:30,Espanyol,3–1,Villarreal,20032.0,RCDE Stadium,Ricardo de Burgos,2.4,1.5
1339,8.0,Sun,2018-10-07,20:45,Valencia,1–1,Barcelona,46249.0,Estadio de Mestalla,José González,1.5,0.4
1341,9.0,Fri,2018-10-19,21:00,Celta Vigo,0–1,Alavés,15627.0,Estadio de Balaídos,Carlos del Cerro,0.9,0.9
1342,9.0,Sat,2018-10-20,13:00,Real Madrid,1–2,Levante,63423.0,Estadio Santiago Bernabéu,Guillermo Cuadra,2.9,2.0
1343,9.0,Sat,2018-10-20,16:15,Valencia,1–1,Leganés,35597.0,Estadio de Mestalla,Ignacio Iglesias,1.3,1.0
1344,9.0,Sat,2018-10-20,18:30,Villarreal,1–1,Atlético Madrid,17518.0,Estadio de la Cerámica,Javier Estrada,1.9,1.4
1345,9.0,Sat,2018-10-20,20:45,Barcelona,4–2,Sevilla,88712.0,Camp Nou,Juan Martínez,2.5,2.2
1346,9.0,Sun,2018-10-21,12:00,Rayo Vallecano,1–2,Getafe,12040.0,Estadio del Rayo Vallecano,Mario Melero,0.4,0.5
1347,9.0,Sun,2018-10-21,16:15,Eibar,1–1,Athletic Club,6475.0,Estadio Municipal de Ipurúa,Jesús Gil,1.9,0.7
1348,9.0,Sun,2018-10-21,18:30,Huesca,0–2,Espanyol,6943.0,Estadio El Alcoraz,Eduardo Prieto,0.4,1.7
1349,9.0,Sun,2018-10-21,20:45,Betis,0–1,Valladolid,42581.0,Estadio Benito Villamarín,Alberola Rojas,0.9,0.4
1350,9.0,Mon,2018-10-22,21:00,Real Sociedad,0–0,Girona,20997.0,Estadio Municipal de Anoeta,Pablo González,0.6,0.9
1352,3.0,Wed,2018-10-24,19:00,Rayo Vallecano,1–1,Athletic Club,11850.0,Estadio del Rayo Vallecano,Guillermo Cuadra,1.3,1.3
1354,10.0,Fri,2018-10-26,21:00,Valladolid,1–1,Espanyol,18231.0,Estadio Municipal José Zorrilla,Adrián Cordero,1.1,0.5
1355,10.0,Sat,2018-10-27,13:00,Girona,2–1,Rayo Vallecano,6618.0,Estadi Municipal de Montilivi,José Luis Munuera,2.4,1.6
1356,10.0,Sat,2018-10-27,16:15,Athletic Club,0–0,Valencia,39261.0,San Mamés,Alberto Undiano,0.7,0.5
1357,10.0,Sat,2018-10-27,18:30,Celta Vigo,4–0,Eibar,15509.0,Estadio de Balaídos,José González,0.8,1.7
1358,10.0,Sat,2018-10-27,18:30,Levante,2–0,Leganés,19754.0,Estadio Ciudad de Valencia,Ricardo de Burgos,1.3,1.4
1359,10.0,Sat,2018-10-27,20:45,Atlético Madrid,2–0,Real Sociedad,57514.0,Estadio Wanda Metropolitano,Antonio Matéu Lahoz,1.4,0.3
1360,10.0,Sun,2018-10-28,12:00,Getafe,2–0,Betis,12086.0,Coliseum Alfonso Pérez,Santiago Jaime,2.2,0.5
1361,10.0,Sun,2018-10-28,16:15,Barcelona,5–1,Real Madrid,93265.0,Camp Nou,José Sánchez,3.0,2.1
1362,10.0,Sun,2018-10-28,18:30,Alavés,2–1,Villarreal,16956.0,Estadio de Mendizorroza,Guillermo Cuadra,1.9,1.3
1363,10.0,Sun,2018-10-28,20:45,Sevilla,2–1,Huesca,33022.0,Estadio Ramón Sánchez Pizjuán,David Medié,1.7,0.8
1365,11.0,Sat,2018-11-03,13:00,Leganés,1–1,Atlético Madrid,12319.0,Estadio Municipal de Butarque,Mario Melero,1.3,0.4
1366,11.0,Sat,2018-11-03,16:15,Real Madrid,2–0,Valladolid,68050.0,Estadio Santiago Bernabéu,Jesús Gil,2.2,0.9
1367,11.0,Sat,2018-11-03,18:30,Valencia,0–1,Girona,38745.0,Estadio de Mestalla,Alberola Rojas,2.3,0.3
1368,11.0,Sat,2018-11-03,20:45,Rayo Vallecano,2–3,Barcelona,13785.0,Estadio del Rayo Vallecano,Alejandro Hernández,1.6,1.9
1369,11.0,Sun,2018-11-04,12:00,Eibar,2–1,Alavés,5660.0,Estadio Municipal de Ipurúa,Ignacio Iglesias,1.5,0.6
1370,11.0,Sun,2018-11-04,16:15,Villarreal,1–1,Levante,16499.0,Estadio de la Cerámica,Carlos del Cerro,1.2,0.5
1371,11.0,Sun,2018-11-04,18:30,Huesca,1–1,Getafe,6420.0,Estadio El Alcoraz,Juan Martínez,1.3,0.5
1372,11.0,Sun,2018-11-04,18:30,Real Sociedad,0–0,Sevilla,24882.0,Estadio Municipal de Anoeta,Eduardo Prieto,0.6,0.4
1373,11.0,Sun,2018-11-04,20:45,Betis,3–3,Celta Vigo,42130.0,Estadio Benito Villamarín,Javier Estrada,1.7,2.1
1374,11.0,Mon,2018-11-05,21:00,Espanyol,1–0,Athletic Club,14328.0,RCDE Stadium,Pablo González,1.5,0.5
1376,12.0,Fri,2018-11-09,21:00,Levante,1–3,Real Sociedad,19890.0,Estadio Ciudad de Valencia,David Medié,1.3,1.2
1377,12.0,Sat,2018-11-10,13:00,Valladolid,0–0,Eibar,16038.0,Estadio Municipal José Zorrilla,Guillermo Cuadra,0.5,1.1
1378,12.0,Sat,2018-11-10,16:15,Getafe,0–1,Valencia,10011.0,Coliseum Alfonso Pérez,Ricardo de Burgos,1.5,2.2
1379,12.0,Sat,2018-11-10,18:30,Atlético Madrid,3–2,Athletic Club,59321.0,Estadio Wanda Metropolitano,José Sánchez,1.1,1.9
1380,12.0,Sat,2018-11-10,20:45,Girona,0–0,Leganés,9874.0,Estadi Municipal de Montilivi,Adrián Cordero,0.4,1.1
1381,12.0,Sun,2018-11-11,12:00,Alavés,2–1,Huesca,18437.0,Estadio de Mendizorroza,José Luis Munuera,1.3,0.9
1382,12.0,Sun,2018-11-11,16:15,Barcelona,3–4,Betis,83174.0,Camp Nou,Antonio Matéu Lahoz,3.8,2.3
1383,12.0,Sun,2018-11-11,18:30,Sevilla,2–1,Espanyol,38769.0,Estadio Ramón Sánchez Pizjuán,Santiago Jaime,4.1,0.8
1384,12.0,Sun,2018-11-11,18:30,Rayo Vallecano,2–2,Villarreal,11840.0,Estadio del Rayo Vallecano,José González,2.3,0.9
1385,12.0,Sun,2018-11-11,20:45,Celta Vigo,2–4,Real Madrid,21184.0,Estadio de Balaídos,Alberto Undiano,0.9,2.5
1387,13.0,Fri,2018-11-23,21:00,Leganés,1–0,Alavés,9863.0,Estadio Municipal de Butarque,Alberola Rojas,0.9,0.4
1388,13.0,Sat,2018-11-24,13:00,Eibar,3–0,Real Madrid,6435.0,Estadio Municipal de Ipurúa,Juan Martínez,2.8,1.1
1389,13.0,Sat,2018-11-24,16:15,Valencia,3–0,Rayo Vallecano,37814.0,Estadio de Mestalla,Pablo González,1.9,0.8
1390,13.0,Sat,2018-11-24,18:30,Huesca,2–2,Levante,6459.0,Estadio El Alcoraz,Javier Estrada,2.8,1.0
1391,13.0,Sat,2018-11-24,20:45,Atlético Madrid,1–1,Barcelona,67204.0,Estadio Wanda Metropolitano,Jesús Gil,0.2,0.6
1392,13.0,Sun,2018-11-25,12:00,Athletic Club,1–1,Getafe,39821.0,San Mamés,Ignacio Iglesias,0.6,2.0
1393,13.0,Sun,2018-11-25,16:15,Sevilla,1–0,Valladolid,34064.0,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,1.3,0.7
1394,13.0,Sun,2018-11-25,18:30,Espanyol,1–3,Girona,22716.0,RCDE Stadium,Alejandro Hernández,2.4,2.2
1395,13.0,Sun,2018-11-25,20:45,Villarreal,2–1,Betis,16028.0,Estadio de la Cerámica,Eduardo Prieto,0.9,0.9
1396,13.0,Mon,2018-11-26,21:00,Real Sociedad,2–1,Celta Vigo,17744.0,Estadio Municipal de Anoeta,Mario Melero,1.9,0.5
1398,14.0,Fri,2018-11-30,21:00,Rayo Vallecano,1–0,Eibar,11257.0,Estadio del Rayo Vallecano,Alberto Undiano,1.2,1.0
1399,14.0,Sat,2018-12-01,13:00,Celta Vigo,2–0,Huesca,13463.0,Estadio de Balaídos,Adrián Cordero,2.3,1.2
1400,14.0,Sat,2018-12-01,16:15,Valladolid,2–4,Leganés,16783.0,Estadio Municipal José Zorrilla,David Medié,1.7,1.7
1401,14.0,Sat,2018-12-01,18:30,Getafe,3–0,Espanyol,9287.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,1.4,1.1
1402,14.0,Sat,2018-12-01,20:45,Real Madrid,2–0,Valencia,69653.0,Estadio Santiago Bernabéu,José González,0.8,0.8
1403,14.0,Sun,2018-12-02,12:00,Betis,1–0,Real Sociedad,46562.0,Estadio Benito Villamarín,Guillermo Cuadra,1.3,1.3
1404,14.0,Sun,2018-12-02,16:15,Girona,1–1,Atlético Madrid,12104.0,Estadi Municipal de Montilivi,Ricardo de Burgos,1.5,1.6
1405,14.0,Sun,2018-12-02,18:30,Barcelona,2–0,Villarreal,73003.0,Camp Nou,José Luis Munuera,1.0,1.1
1406,14.0,Sun,2018-12-02,20:45,Alavés,1–1,Sevilla,17848.0,Estadio de Mendizorroza,José Sánchez,1.0,1.7
1407,14.0,Mon,2018-12-03,21:00,Levante,3–0,Athletic Club,19928.0,Estadio Ciudad de Valencia,Santiago Jaime,1.9,1.1
1409,15.0,Fri,2018-12-07,21:00,Leganés,1–1,Getafe,11327.0,Estadio Municipal de Butarque,Pablo González,1.7,0.9
1410,15.0,Sat,2018-12-08,13:00,Atlético Madrid,3–0,Alavés,55810.0,Estadio Wanda Metropolitano,Alejandro Hernández,2.7,1.4
1411,15.0,Sat,2018-12-08,16:15,Valencia,1–1,Sevilla,40057.0,Estadio de Mestalla,Javier Estrada,1.2,1.7
1412,15.0,Sat,2018-12-08,18:30,Villarreal,2–3,Celta Vigo,15720.0,Estadio de la Cerámica,Jesús Gil,1.6,2.0
1413,15.0,Sat,2018-12-08,20:45,Espanyol,0–4,Barcelona,24037.0,RCDE Stadium,Carlos del Cerro,1.1,2.9
1414,15.0,Sun,2018-12-09,12:00,Eibar,4–4,Levante,5328.0,Estadio Municipal de Ipurúa,Alberola Rojas,4.2,2.2
1415,15.0,Sun,2018-12-09,16:15,Huesca,0–1,Real Madrid,7341.0,Estadio El Alcoraz,Mario Melero,1.2,0.4
1416,15.0,Sun,2018-12-09,18:30,Real Sociedad,1–2,Valladolid,23260.0,Estadio Municipal de Anoeta,Ignacio Iglesias,2.4,1.0
1417,15.0,Sun,2018-12-09,20:45,Betis,2–0,Rayo Vallecano,40218.0,Estadio Benito Villamarín,Juan Martínez,1.7,1.2
1418,15.0,Mon,2018-12-10,21:00,Athletic Club,1–0,Girona,34060.0,San Mamés,Eduardo Prieto,2.1,0.2
1420,16.0,Fri,2018-12-14,21:00,Celta Vigo,0–0,Leganés,15134.0,Estadio de Balaídos,José Luis Munuera,1.2,0.7
1421,16.0,Sat,2018-12-15,13:00,Getafe,1–0,Real Sociedad,9018.0,Coliseum Alfonso Pérez,Santiago Jaime,0.4,0.8
1422,16.0,Sat,2018-12-15,16:15,Valladolid,2–3,Atlético Madrid,22585.0,Estadio Municipal José Zorrilla,Alberto Undiano,0.8,1.9
1423,16.0,Sat,2018-12-15,18:30,Real Madrid,1–0,Rayo Vallecano,55229.0,Estadio Santiago Bernabéu,Ricardo de Burgos,1.2,0.7
1424,16.0,Sat,2018-12-15,20:45,Eibar,1–1,Valencia,4491.0,Estadio Municipal de Ipurúa,Adrián Cordero,1.6,2.1
1425,16.0,Sun,2018-12-16,12:00,Sevilla,2–0,Girona,33542.0,Estadio Ramón Sánchez Pizjuán,Guillermo Cuadra,2.1,1.0
1426,16.0,Sun,2018-12-16,16:15,Espanyol,1–3,Betis,20275.0,RCDE Stadium,José Sánchez,0.6,1.7
1427,16.0,Sun,2018-12-16,18:30,Huesca,2–2,Villarreal,6455.0,Estadio El Alcoraz,David Medié,4.2,1.7
1428,16.0,Sun,2018-12-16,20:45,Levante,0–5,Barcelona,23736.0,Estadio Ciudad de Valencia,José González,1.0,3.7
1429,16.0,Mon,2018-12-17,21:00,Alavés,0–0,Athletic Club,19349.0,Estadio de Mendizorroza,Antonio Matéu Lahoz,0.5,0.3
1431,17.0,Fri,2018-12-21,19:30,Girona,1–1,Getafe,8450.0,Estadi Municipal de Montilivi,Alberola Rojas,1.4,0.6
1432,17.0,Fri,2018-12-21,21:00,Real Sociedad,0–1,Alavés,22431.0,Estadio Municipal de Anoeta,Javier Estrada,1.1,0.8
1433,17.0,Sat,2018-12-22,13:00,Betis,1–1,Eibar,49426.0,Estadio Benito Villamarín,Carlos del Cerro,1.5,2.3
1434,17.0,Sat,2018-12-22,16:15,Atlético Madrid,1–0,Espanyol,58069.0,Estadio Wanda Metropolitano,Mario Melero,1.0,0.8
1435,17.0,Sat,2018-12-22,18:30,Barcelona,2–0,Celta Vigo,78686.0,Camp Nou,Eduardo Prieto,1.4,0.6
1436,17.0,Sat,2018-12-22,20:45,Athletic Club,1–1,Valladolid,42633.0,San Mamés,José Sánchez,1.1,0.6
1437,17.0,Sun,2018-12-23,12:00,Valencia,2–1,Huesca,36547.0,Estadio de Mestalla,Jesús Gil,3.2,2.3
1438,17.0,Sun,2018-12-23,16:15,Leganés,1–1,Sevilla,11321.0,Estadio Municipal de Butarque,Alejandro Hernández,1.3,0.7
1439,17.0,Sun,2018-12-23,18:30,Rayo Vallecano,2–1,Levante,11206.0,Estadio del Rayo Vallecano,Ignacio Iglesias,2.5,1.0
1440,17.0,Thu,2019-01-03,21:30,Villarreal,2–2,Real Madrid,19903.0,Estadio de la Cerámica,Pablo González,1.2,1.6
1442,18.0,Fri,2019-01-04,19:00,Levante,2–2,Girona,19415.0,Estadio Ciudad de Valencia,Alberto Undiano,1.6,1.4
1443,18.0,Fri,2019-01-04,21:00,Espanyol,1–0,Leganés,15085.0,RCDE Stadium,José González,1.3,0.4
1444,18.0,Sat,2019-01-05,13:00,Valladolid,0–1,Rayo Vallecano,17261.0,Estadio Municipal José Zorrilla,Adrián Cordero,1.8,1.0
1445,18.0,Sat,2019-01-05,16:15,Alavés,2–1,Valencia,18304.0,Estadio de Mendizorroza,David Medié,1.9,1.1
1446,18.0,Sat,2019-01-05,20:45,Huesca,2–1,Betis,6135.0,Estadio El Alcoraz,Ricardo de Burgos,1.5,1.1
1447,18.0,Sun,2019-01-06,12:00,Eibar,0–0,Villarreal,4141.0,Estadio Municipal de Ipurúa,Santiago Jaime,1.8,1.2
1448,18.0,Sun,2019-01-06,16:15,Sevilla,1–1,Atlético Madrid,38603.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.4,0.7
1449,18.0,Sun,2019-01-06,18:30,Real Madrid,0–2,Real Sociedad,53412.0,Estadio Santiago Bernabéu,José Luis Munuera,2.6,2.3
1450,18.0,Sun,2019-01-06,20:45,Getafe,1–2,Barcelona,14721.0,Coliseum Alfonso Pérez,Guillermo Cuadra,1.2,1.5
1451,18.0,Mon,2019-01-07,21:00,Celta Vigo,1–2,Athletic Club,13266.0,Estadio de Balaídos,Juan Martínez,1.5,1.8
1453,19.0,Fri,2019-01-11,21:00,Rayo Vallecano,4–2,Celta Vigo,11465.0,Estadio del Rayo Vallecano,Alberola Rojas,2.0,1.3
1454,19.0,Sat,2019-01-12,13:00,Leganés,1–0,Huesca,10341.0,Estadio Municipal de Butarque,Mario Melero,2.0,0.5
1455,19.0,Sat,2019-01-12,16:15,Valencia,1–1,Valladolid,36912.0,Estadio de Mestalla,Ignacio Iglesias,3.5,0.2
1456,19.0,Sat,2019-01-12,18:30,Girona,1–1,Alavés,10303.0,Estadi Municipal de Montilivi,José Sánchez,0.6,1.1
1457,19.0,Sat,2019-01-12,20:45,Villarreal,1–2,Getafe,13671.0,Estadio de la Cerámica,Javier Estrada,2.3,0.9
1458,19.0,Sun,2019-01-13,12:00,Atlético Madrid,1–0,Levante,57093.0,Estadio Wanda Metropolitano,Eduardo Prieto,2.5,0.7
1459,19.0,Sun,2019-01-13,16:15,Athletic Club,2–0,Sevilla,41342.0,San Mamés,Pablo González,0.9,0.7
1460,19.0,Sun,2019-01-13,18:30,Barcelona,3–0,Eibar,71039.0,Camp Nou,Jesús Gil,1.1,0.9
1461,19.0,Sun,2019-01-13,20:45,Betis,1–2,Real Madrid,54187.0,Estadio Benito Villamarín,Alejandro Hernández,0.8,0.7
1462,19.0,Mon,2019-01-14,21:00,Real Sociedad,3–2,Espanyol,17301.0,Estadio Municipal de Anoeta,Carlos del Cerro,2.6,2.1
1464,20.0,Fri,2019-01-18,21:00,Getafe,4–0,Alavés,8748.0,Coliseum Alfonso Pérez,José Luis Munuera,2.0,0.4
1465,20.0,Sat,2019-01-19,16:15,Real Madrid,2–0,Sevilla,68232.0,Estadio Santiago Bernabéu,Antonio Matéu Lahoz,1.5,0.5
1466,20.0,Sat,2019-01-19,18:30,Huesca,0–3,Atlético Madrid,7106.0,Estadio El Alcoraz,Guillermo Cuadra,1.3,2.5
1467,20.0,Sat,2019-01-19,20:45,Celta Vigo,1–2,Valencia,15668.0,Estadio de Balaídos,José González,0.8,1.2
1468,20.0,Sun,2019-01-20,12:00,Betis,3–2,Girona,47218.0,Estadio Benito Villamarín,Adrián Cordero,1.4,0.8
1469,20.0,Sun,2019-01-20,16:15,Villarreal,1–1,Athletic Club,17054.0,Estadio de la Cerámica,Alberto Undiano,1.1,0.5
1470,20.0,Sun,2019-01-20,18:30,Levante,2–0,Valladolid,19107.0,Estadio Ciudad de Valencia,Santiago Jaime,1.5,1.5
1471,20.0,Sun,2019-01-20,18:30,Rayo Vallecano,2–2,Real Sociedad,12562.0,Estadio del Rayo Vallecano,David Medié,0.9,1.6
1472,20.0,Sun,2019-01-20,20:45,Barcelona,3–1,Leganés,50670.0,Camp Nou,Ricardo de Burgos,1.8,0.9
1473,20.0,Mon,2019-01-21,21:00,Eibar,3–0,Espanyol,3592.0,Estadio Municipal de Ipurúa,Juan Martínez,1.6,0.9
1475,21.0,Sat,2019-01-26,13:00,Sevilla,5–0,Levante,34220.0,Estadio Ramón Sánchez Pizjuán,Alberola Rojas,4.6,0.9
1476,21.0,Sat,2019-01-26,16:15,Atlético Madrid,2–0,Getafe,55709.0,Estadio Wanda Metropolitano,Ignacio Iglesias,1.1,0.3
1477,21.0,Sat,2019-01-26,18:30,Leganés,2–2,Eibar,9341.0,Estadio Municipal de Butarque,Alejandro Hernández,0.7,0.2
1478,21.0,Sat,2019-01-26,20:45,Valencia,3–0,Villarreal,37685.0,Estadio de Mestalla,Carlos del Cerro,1.5,0.7
1479,21.0,Sun,2019-01-27,12:00,Valladolid,2–1,Celta Vigo,18416.0,Estadio Municipal José Zorrilla,José Sánchez,1.6,1.0
1480,21.0,Sun,2019-01-27,16:15,Girona,0–2,Barcelona,14021.0,Estadi Municipal de Montilivi,Pablo González,1.3,2.2
1481,21.0,Sun,2019-01-27,18:30,Real Sociedad,0–0,Huesca,21252.0,Estadio Municipal de Anoeta,Eduardo Prieto,0.4,0.4
1482,21.0,Sun,2019-01-27,18:30,Athletic Club,1–0,Betis,40282.0,San Mamés,Javier Estrada,1.1,0.4
1483,21.0,Sun,2019-01-27,20:45,Espanyol,2–4,Real Madrid,21215.0,RCDE Stadium,Jesús Gil,1.1,2.1
1484,21.0,Mon,2019-01-28,21:00,Alavés,0–1,Rayo Vallecano,13982.0,Estadio de Mendizorroza,Mario Melero,1.0,1.0
1486,22.0,Fri,2019-02-01,21:00,Huesca,4–0,Valladolid,6052.0,Estadio El Alcoraz,José Luis Munuera,1.9,0.5
1487,22.0,Sat,2019-02-02,13:00,Levante,0–0,Getafe,18437.0,Estadio Ciudad de Valencia,Adrián Cordero,0.6,0.4
1488,22.0,Sat,2019-02-02,16:15,Real Sociedad,2–1,Athletic Club,27073.0,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,1.5,1.4
1489,22.0,Sat,2019-02-02,18:30,Barcelona,2–2,Valencia,76789.0,Camp Nou,Alberto Undiano,2.0,3.3
1490,22.0,Sat,2019-02-02,20:45,Celta Vigo,1–0,Sevilla,17503.0,Estadio de Balaídos,Ricardo de Burgos,1.0,0.9
1491,22.0,Sun,2019-02-03,12:00,Villarreal,2–2,Espanyol,15476.0,Estadio de la Cerámica,Guillermo Cuadra,2.8,1.6
1492,22.0,Sun,2019-02-03,16:15,Betis,1–0,Atlético Madrid,50864.0,Estadio Benito Villamarín,David Medié,1.0,0.7
1493,22.0,Sun,2019-02-03,18:30,Eibar,3–0,Girona,4419.0,Estadio Municipal de Ipurúa,José González,1.7,0.2
1494,22.0,Sun,2019-02-03,20:45,Real Madrid,3–0,Alavés,53132.0,Estadio Santiago Bernabéu,Santiago Jaime,2.5,0.6
1495,22.0,Mon,2019-02-04,21:00,Rayo Vallecano,1–2,Leganés,11435.0,Estadio del Rayo Vallecano,Juan Martínez,1.7,1.3
1497,23.0,Fri,2019-02-08,21:00,Valladolid,0–0,Villarreal,16842.0,Estadio Municipal José Zorrilla,Alejandro Hernández,0.6,1.2
1498,23.0,Sat,2019-02-09,13:00,Getafe,3–1,Celta Vigo,9918.0,Coliseum Alfonso Pérez,Pablo González,2.7,0.9
1499,23.0,Sat,2019-02-09,16:15,Atlético Madrid,1–3,Real Madrid,67752.0,Estadio Wanda Metropolitano,Javier Estrada,1.1,1.6
1500,23.0,Sat,2019-02-09,18:30,Espanyol,2–1,Rayo Vallecano,22104.0,RCDE Stadium,Eduardo Prieto,2.0,0.6
1501,23.0,Sat,2019-02-09,20:45,Girona,0–2,Huesca,10662.0,Estadi Municipal de Montilivi,Adrián Cordero,1.4,0.6
1502,23.0,Sun,2019-02-10,12:00,Leganés,3–0,Betis,11381.0,Estadio Municipal de Butarque,Alberola Rojas,1.6,0.1
1503,23.0,Sun,2019-02-10,16:15,Valencia,0–0,Real Sociedad,38885.0,Estadio de Mestalla,Mario Melero,1.5,0.5
1504,23.0,Sun,2019-02-10,18:30,Sevilla,2–2,Eibar,36343.0,Estadio Ramón Sánchez Pizjuán,Ignacio Iglesias,1.7,1.3
1505,23.0,Sun,2019-02-10,20:45,Athletic Club,0–0,Barcelona,47557.0,San Mamés,Carlos del Cerro,1.3,0.7
1506,23.0,Mon,2019-02-11,21:00,Alavés,2–0,Levante,13691.0,Estadio de Mendizorroza,Alberto Undiano,1.7,0.3
1508,24.0,Fri,2019-02-15,21:00,Eibar,2–2,Getafe,4449.0,Estadio Municipal de Ipurúa,David Medié,1.8,0.7
1509,24.0,Sat,2019-02-16,13:00,Celta Vigo,1–4,Levante,15479.0,Estadio de Balaídos,Santiago Jaime,1.6,2.8
1510,24.0,Sat,2019-02-16,16:15,Rayo Vallecano,0–1,Atlético Madrid,13880.0,Estadio del Rayo Vallecano,Jesús Gil,1.0,0.2
1511,24.0,Sat,2019-02-16,18:30,Real Sociedad,3–0,Leganés,22997.0,Estadio Municipal de Anoeta,José Luis Munuera,1.7,1.2
1512,24.0,Sat,2019-02-16,20:45,Barcelona,1–0,Valladolid,67435.0,Camp Nou,Juan Martínez,3.7,0.4
1513,24.0,Sun,2019-02-17,12:00,Real Madrid,1–2,Girona,68099.0,Estadio Santiago Bernabéu,Guillermo Cuadra,1.8,2.6
1514,24.0,Sun,2019-02-17,16:15,Valencia,0–0,Espanyol,39564.0,Estadio de Mestalla,Ricardo de Burgos,1.7,0.4
1515,24.0,Sun,2019-02-17,18:30,Villarreal,3–0,Sevilla,17402.0,Estadio de la Cerámica,José González,1.6,2.6
1516,24.0,Sun,2019-02-17,20:45,Betis,1–1,Alavés,43455.0,Estadio Benito Villamarín,Antonio Matéu Lahoz,3.1,1.2
1517,24.0,Mon,2019-02-18,21:00,Huesca,0–1,Athletic Club,6729.0,Estadio El Alcoraz,José Sánchez,1.2,1.4
1519,25.0,Fri,2019-02-22,21:00,Espanyol,1–1,Huesca,20078.0,RCDE Stadium,Alejandro Hernández,0.8,0.8
1520,25.0,Sat,2019-02-23,13:00,Getafe,2–1,Rayo Vallecano,11207.0,Coliseum Alfonso Pérez,Alberola Rojas,1.3,0.8
1521,25.0,Sat,2019-02-23,16:15,Sevilla,2–4,Barcelona,40661.0,Estadio Ramón Sánchez Pizjuán,Antonio Matéu Lahoz,1.6,1.8
1522,25.0,Sat,2019-02-23,18:30,Alavés,0–0,Celta Vigo,18882.0,Estadio de Mendizorroza,Carlos del Cerro,1.4,0.5
1523,25.0,Sat,2019-02-23,20:45,Athletic Club,1–0,Eibar,43363.0,San Mamés,Mario Melero,1.3,0.6
1524,25.0,Sun,2019-02-24,12:00,Leganés,1–1,Valencia,11425.0,Estadio Municipal de Butarque,Javier Estrada,1.8,0.5
1525,25.0,Sun,2019-02-24,16:15,Atlético Madrid,2–0,Villarreal,59114.0,Estadio Wanda Metropolitano,Alberto Undiano,1.2,1.2
1526,25.0,Sun,2019-02-24,18:30,Valladolid,0–2,Betis,20125.0,Estadio Municipal José Zorrilla,Pablo González,0.6,0.8
1527,25.0,Sun,2019-02-24,20:45,Levante,1–2,Real Madrid,23018.0,Estadio Ciudad de Valencia,Ignacio Iglesias,1.2,2.7
